TAG,USUARIO,FECHA,LUGAR,OBSERVACIONES,PERIM ENTRADA,PERIM EMPEINE,PERIM METATARSO,PERIM TALON-ENTRADA,PERIM INICIO TALON-ENTRADA,PERIM TALON-EMPEINE,PERIM INICIO TALON-EMPEINE,LARGO,ANCHO TOTAL,ALTURA ENTRADA,ALTURA EMPEINE,ALTURA TALON,ALTURA ARCO,LARGO TALON-ENTRADA,LARGO TALON-EMPEINE,LARGO INICIO TALON-ENTRADA,LARGO INICIO TALON-EMPEINE,ANCHO METATARSICO,TIPO DE PIE,ALTURA PUNTA DE PIE,ALTURA MITAD DEL PIE,PIE IZQ/DER
,,,,,260.4,258.1,254.9,408.3,386.8,405.0,446.5,276.0,102.9,74.1,65.5,18.5,45.8,151.0,166.6,150.4,164.0,109.1,Egipcio,,,
,,,,,223.4,199.7,217.8,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,263.3,254.5,468.8,420.3,385.2,434.4,458.0,280.8,100.2,74.2,62.2,23.3,53.7,149.4,173.7,150.3,171.2,146.6,Griego,,,
,,,,,263.3,254.5,249.6,420.3,385.2,434.4,458.0,280.8,100.2,74.2,62.2,23.3,53.7,149.4,173.7,150.3,171.2,104.3,Griego,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.9,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,,,
,,,,,235.8,241.8,212.2,382.7,383.4,435.6,526.5,250.89999999999998,91.0,68.5,51.7,21.6,43.4,134.0,157.4,130.2,149.0,91.0,Egipcio,Egipcio,,IZQUIERDO
